名称,英文名称,星级,Id,类型,耐久,炮击,雷击,防空,航空,装填,反潜,命中,机动,耐久(增长),炮击(增长),雷击(增长),防空(增长),航空(增长),装填(增长),反潜(增长),命中(增长),机动(增长)
莫里,USS Maury,4,101083,1,505,24,150,57,0,76,0,71,73,8305,193,1046,727,0,529,0,1088,1360
莫里,USS Maury,5,101084,1,719,35,214,82,0,76,0,71,73,8305,193,1046,727,0,529,0,1088,1360
弗莱彻,USS Fletcher,2,101091,1,338,16,53,32,0,72,0,69,60,9481,219,711,704,0,503,0,1062,1093
弗莱彻,USS Fletcher,3,101092,1,420,20,66,40,0,72,0,69,60,9481,219,711,704,0,503,0,1062,1093
弗莱彻,USS Fletcher,4,101093,1,585,28,92,56,0,72,0,69,60,9481,219,711,704,0,503,0,1062,1093
弗莱彻,USS Fletcher,5,101094,1,832,39,131,79,0,72,0,69,60,9481,219,711,704,0,503,0,1062,1093
查尔斯·奥斯本,USS Charles Ausburne,2,101111,1,343,16,54,33,0,79,0,76,59,9642,223,729,724,0,548,0,1163,1086
查尔斯·奥斯本,USS Charles Ausburne,3,101112,1,427,20,67,41,0,79,0,76,59,9642,223,729,724,0,548,0,1163,1086
查尔斯·奥斯本,USS Charles Ausburne,4,101113,1,594,28,94,57,0,79,0,76,59,9642,223,729,724,0,548,0,1163,1086
查尔斯·奥斯本,USS Charles Ausburne,5,101114,1,846,40,134,82,0,79,0,76,59,9642,223,729,724,0,548,0,1163,1086
撒切尔,USS Thatcher,2,101121,1,331,16,53,32,0,77,0,72,59,9297,219,711,704,0,534,0,1112,1086
撒切尔,USS Thatcher,3,101122,1,412,20,66,40,0,77,0,72,59,9297,219,711,704,0,534,0,1112,1086
撒切尔,USS Thatcher,4,101123,1,573,28,92,56,0,77,0,72,59,9297,219,711,704,0,534,0,1112,1086
撒切尔,USS Thatcher,5,101124,1,816,39,131,79,0,77,0,72,59,9297,219,711,704,0,534,0,1112,1086
奥利克,USS Aulick,1,101131,1,325,15,52,32,0,75,0,72,59,9118,213,700,693,0,523,0,1112,1086
奥利克,USS Aulick,2,101132,1,404,19,65,40,0,75,0,72,59,9118,213,700,693,0,523,0,1112,1086
奥利克,USS Aulick,3,101133,1,563,26,90,55,0,75,0,72,59,9118,213,700,693,0,523,0,1112,1086
奥利克,USS Aulick,4,101134,1,800,38,129,79,0,75,0,72,59,9118,213,700,693,0,523,0,1112,1086
富特,USS Foote,1,101141,1,325,15,52,32,0,72,0,72,59,9118,213,700,693,0,503,0,1112,1086
富特,USS Foote,2,101142,1,404,19,65,40,0,72,0,72,59,9118,213,700,693,0,503,0,1112,1086
富特,USS Foote,3,101143,1,563,26,90,55,0,72,0,72,59,9118,213,700,693,0,503,0,1112,1086
富特,USS Foote,4,101144,1,800,38,129,79,0,72,0,72,59,9118,213,700,693,0,503,0,1112,1086
斯彭斯,USS Spence,1,101151,1,325,15,52,32,0,72,0,72,59,9118,213,700,693,0,503,0,1112,1086
斯彭斯,USS Spence,2,101152,1,404,19,65,40,0,72,0,72,59,9118,213,700,693,0,503,0,1112,1086
斯彭斯,USS Spence,3,101153,1,563,26,90,55,0,72,0,72,59,9118,213,700,693,0,503,0,1112,1086
斯彭斯,USS Spence,4,101154,1,800,38,129,79,0,72,0,72,59,9118,213,700,693,0,503,0,1112,1086
本森,USS Benson,2,101161,1,294,16,60,32,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
本森,USS Benson,3,101162,1,366,20,75,40,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
本森,USS Benson,4,101163,1,509,28,104,56,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
本森,USS Benson,5,101164,1,725,40,149,79,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
拉菲,USS Laffey,2,101171,1,319,19,56,33,0,81,0,75,60,9098,258,754,718,0,562,0,1151,1121
拉菲,USS Laffey,3,101172,1,397,24,70,41,0,81,0,75,60,9098,258,754,718,0,562,0,1151,1121
拉菲,USS Laffey,4,101173,1,553,33,98,57,0,81,0,75,60,9098,258,754,718,0,562,0,1151,1121
拉菲,USS Laffey,5,101174,1,786,47,140,81,0,81,0,75,60,9098,258,754,718,0,562,0,1151,1121
西姆斯,USS Sims,2,101241,1,293,15,53,32,0,75,0,65,59,8335,207,720,701,0,521,0,1001,1095
西姆斯,USS Sims,3,101242,1,364,19,66,40,0,75,0,65,59,8335,207,720,701,0,521,0,1001,1095
西姆斯,USS Sims,4,101243,1,507,26,93,56,0,75,0,65,59,8335,207,720,701,0,521,0,1001,1095
西姆斯,USS Sims,5,101244,1,721,37,132,79,0,75,0,65,59,8335,207,720,701,0,521,0,1001,1095
哈曼,USS Hammann,2,101251,1,293,15,53,32,0,75,0,65,59,8335,207,720,701,0,521,0,1001,1095
哈曼,USS Hammann,3,101252,1,364,19,66,40,0,75,0,65,59,8335,207,720,701,0,521,0,1001,1095
哈曼,USS Hammann,4,101253,1,507,26,93,56,0,75,0,65,59,8335,207,720,701,0,521,0,1001,1095
哈曼,USS Hammann,5,101254,1,721,37,132,79,0,75,0,65,59,8335,207,720,701,0,521,0,1001,1095
埃尔德里奇,USS Eldridge,3,101261,1,277,15,72,34,0,85,0,71,78,7901,207,919,749,0,590,0,1088,1440
埃尔德里奇,USS Eldridge,4,101262,1,345,19,90,42,0,85,0,71,78,7901,207,919,749,0,590,0,1088,1440
埃尔德里奇,USS Eldridge,5,101263,1,480,26,126,59,0,85,0,71,78,7901,207,919,749,0,590,0,1088,1440
埃尔德里奇,USS Eldridge,6,101264,1,683,37,179,84,0,85,0,71,78,7901,207,919,749,0,590,0,1088,1440
贝利,USS Bailey,2,101271,1,294,16,60,32,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1115
贝利,USS Bailey,3,101272,1,366,20,75,40,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1115
贝利,USS Bailey,4,101273,1,509,28,104,56,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1115
贝利,USS Bailey,5,101274,1,725,40,149,79,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1115
拉德福特,USS Radford,2,101291,1,331,16,53,32,0,74,0,72,60,9433,219,711,704,0,513,0,1112,1121
拉德福特,USS Radford,3,101292,1,412,20,66,40,0,74,0,72,60,9433,219,711,704,0,513,0,1112,1121
拉德福特,USS Radford,4,101293,1,573,28,92,56,0,74,0,72,60,9433,219,711,704,0,513,0,1112,1121
拉德福特,USS Radford,5,101294,1,816,39,131,79,0,74,0,72,60,9433,219,711,704,0,513,0,1112,1121
杰金斯,USS Jenkins,2,101301,1,335,16,53,32,0,74,0,72,60,9549,219,711,704,0,513,0,1112,1110
杰金斯,USS Jenkins,3,101302,1,417,20,66,40,0,74,0,72,60,9549,219,711,704,0,513,0,1112,1110
杰金斯,USS Jenkins,4,101303,1,580,28,92,56,0,74,0,72,60,9549,219,711,704,0,513,0,1112,1110
杰金斯,USS Jenkins,5,101304,1,826,39,131,79,0,74,0,72,60,9549,219,711,704,0,513,0,1112,1110
尼古拉斯,USS Nicholas,2,101311,1,341,16,54,33,0,76,0,72,59,9713,223,729,724,0,529,0,1112,1095
尼古拉斯,USS Nicholas,3,101312,1,424,20,67,41,0,76,0,72,59,9713,223,729,724,0,529,0,1112,1095
尼古拉斯,USS Nicholas,4,101313,1,590,28,94,57,0,76,0,72,59,9713,223,729,724,0,529,0,1112,1095
尼古拉斯,USS Nicholas,5,101314,1,840,40,134,82,0,76,0,72,59,9713,223,729,724,0,529,0,1112,1095
布什,USS Bush,2,101331,1,331,16,52,35,0,74,0,73,59,9433,219,709,772,0,513,0,1120,1095
布什,USS Bush,3,101332,1,412,20,65,44,0,74,0,73,59,9433,219,709,772,0,513,0,1120,1095
布什,USS Bush,4,101333,1,573,28,91,61,0,74,0,73,59,9433,219,709,772,0,513,0,1120,1095
布什,USS Bush,5,101334,1,816,39,130,87,0,74,0,73,59,9433,219,709,772,0,513,0,1120,1095
黑泽伍德,USS Hazelwood,2,101341,1,331,16,53,32,0,72,0,72,59,9433,219,711,704,0,503,0,1112,1095
黑泽伍德,USS Hazelwood,3,101342,1,412,20,66,40,0,72,0,72,59,9433,219,711,704,0,503,0,1112,1095
黑泽伍德,USS Hazelwood,4,101343,1,573,28,92,56,0,72,0,72,59,9433,219,711,704,0,503,0,1112,1095
黑泽伍德,USS Hazelwood,5,101344,1,816,39,131,79,0,72,0,72,59,9433,219,711,704,0,503,0,1112,1095
贝奇,USS Bache,2,101351,1,338,14,53,36,0,72,0,68,60,9620,195,711,793,0,503,0,1050,1110
贝奇,USS Bache,3,101352,1,420,18,66,45,0,72,0,68,60,9620,195,711,793,0,503,0,1050,1110
贝奇,USS Bache,4,101353,1,585,25,92,63,0,72,0,68,60,9620,195,711,793,0,503,0,1050,1110
贝奇,USS Bache,5,101354,1,832,35,131,89,0,72,0,68,60,9620,195,711,793,0,503,0,1050,1110
霍比,USS Hobby,2,101361,1,294,16,60,32,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
霍比,USS Hobby,3,101362,1,366,20,75,40,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
霍比,USS Hobby,4,101363,1,509,28,104,56,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
霍比,USS Hobby,5,101364,1,725,40,149,79,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
科尔克,USS Kalk,2,101371,1,294,16,60,32,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
科尔克,USS Kalk,3,101372,1,366,20,75,40,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
科尔克,USS Kalk,4,101373,1,509,28,104,56,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
科尔克,USS Kalk,5,101374,1,725,40,149,79,0,75,0,67,60,8386,226,790,701,0,523,0,1037,1121
金伯利,USS Kimberly,2,101381,1,331,15,53,34,0,74,0,73,59,9433,213,711,741,0,513,0,1120,1095
金伯利,USS Kimberly,3,101382,1,412,19,66,42,0,74,0,73,59,9433,213,711,741,0,513,0,1120,1095
金伯利,USS Kimberly,4,101383,1,573,26,92,59,0,74,0,73,59,9433,213,711,741,0,513,0,1120,1095
金伯利,USS Kimberly,5,101384,1,816,38,131,84,0,74,0,73,59,9433,213,711,741,0,513,0,1120,1095
马拉尼,USS Mullany,2,101391,1,341,17,54,32,0,76,0,72,59,9713,230,729,704,0,526,0,1107,1095
马拉尼,USS Mullany,3,101392,1,424,21,67,40,0,76,0,72,59,9713,230,729,704,0,526,0,1107,1095
马拉尼,USS Mullany,4,101393,1,590,29,94,56,0,76,0,72,59,9713,230,729,704,0,526,0,1107,1095
马拉尼,USS Mullany,5,101394,1,840,42,134,79,0,76,0,72,59,9713,230,729,704,0,526,0,1107,1095
艾尔温,USS Aylwin,2,101401,1,271,15,52,34,0,73,0,63,60,7714,207,700,745,0,510,0,975,1115
艾尔温,USS Aylwin,3,101402,1,337,19,65,42,0,73,0,63,60,7714,207,700,745,0,510,0,975,1115
艾尔温,USS Aylwin,4,101403,1,469,26,90,59,0,73,0,63,60,7714,207,700,745,0,510,0,975,1115
艾尔温,USS Aylwin,5,101404,1,667,37,129,84,0,73,0,63,60,7714,207,700,745,0,510,0,975,1115
斯坦利,USS Stanly,2,101411,1,338,16,53,32,0,75,0,72,59,9620,219,711,704,0,521,0,1112,1095
斯坦利,USS Stanly,3,101412,1,420,20,66,40,0,75,0,72,59,9620,219,711,704,0,521,0,1112,1095
斯坦利,USS Stanly,4,101413,1,585,28,92,56,0,75,0,72,59,9620,219,711,704,0,521,0,1112,1095
斯坦利,USS Stanly,5,101414,1,832,39,131,79,0,75,0,72,59,9620,219,711,704,0,521,0,1112,1095
斯莫利,USS Smalley,2,101421,1,338,16,53,35,0,74,0,72,59,9620,223,711,772,0,518,0,1112,1095
斯莫利,USS Smalley,3,101422,1,420,20,66,44,0,74,0,72,59,9620,223,711,772,0,518,0,1112,1095
斯莫利,USS Smalley,4,101423,1,585,28,92,61,0,74,0,72,59,9620,223,711,772,0,518,0,1112,1095
斯莫利,USS Smalley,5,101424,1,832,40,131,87,0,74,0,72,59,9620,223,711,772,0,518,0,1112,1095
哈尔西·鲍威尔,USS Halsey Powell,2,101431,1,338,15,52,41,0,74,0,72,59,9620,205,707,893,0,518,0,1112,1095
哈尔西·鲍威尔,USS Halsey Powell,3,101432,1,420,19,65,51,0,74,0,72,59,9620,205,707,893,0,518,0,1112,1095
哈尔西·鲍威尔,USS Halsey Powell,4,101433,1,585,26,91,71,0,74,0,72,59,9620,205,707,893,0,518,0,1112,1095
哈尔西·鲍威尔,USS Halsey Powell,5,101434,1,832,37,129,101,0,74,0,72,59,9620,205,707,893,0,518,0,1112,1095
库珀,USS Cooper,2,101441,1,353,23,68,37,0,81,0,74,59,10058,322,877,816,0,562,0,1138,1280
库珀,USS Cooper,3,101442,1,439,29,85,46,0,81,0,74,59,10058,322,877,816,0,562,0,1138,1280
库珀,USS Cooper,4,101443,1,611,40,119,64,0,81,0,74,59,10058,322,877,816,0,562,0,1138,1280
库珀,USS Cooper,5,101444,1,870,58,169,92,0,81,0,74,59,10058,322,877,816,0,562,0,1138,1280
艾伦·萨姆纳,USS Allen M. Sumner ,3,101451,1,407,26,70,43,0,84,0,76,59,11604,359,902,950,0,585,0,1175,1280
艾伦·萨姆纳,USS Allen M. Sumner ,4,101452,1,506,32,87,54,0,84,0,76,59,11604,359,902,950,0,585,0,1175,1280
艾伦·萨姆纳,USS Allen M. Sumner ,5,101453,1,705,45,122,75,0,84,0,76,59,11604,359,902,950,0,585,0,1175,1280
艾伦·萨姆纳,USS Allen M. Sumner ,6,101454,1,1003,64,175,107,0,84,0,76,59,11604,359,902,950,0,585,0,1175,1280
史蒂芬·波特,USS Stephen Potter,2,101461,1,347,17,54,34,0,75,0,72,59,9900,230,732,737,0,521,0,1112,1095
史蒂芬·波特,USS Stephen Potter,3,101462,1,432,21,67,42,0,75,0,72,59,9900,230,732,737,0,521,0,1112,1095
史蒂芬·波特,USS Stephen Potter,4,101463,1,601,29,94,59,0,75,0,72,59,9900,230,732,737,0,521,0,1112,1095
史蒂芬·波特,USS Stephen Potter,5,101464,1,856,42,135,84,0,75,0,72,59,9900,230,732,737,0,521,0,1112,1095
莫里森,USS Morrison,2,101471,1,341,16,54,33,0,77,0,75,59,9713,216,726,724,0,534,0,1156,1095
莫里森,USS Morrison,3,101472,1,424,20,67,41,0,77,0,75,59,9713,216,726,724,0,534,0,1156,1095
莫里森,USS Morrison,4,101473,1,590,28,94,57,0,77,0,75,59,9713,216,726,724,0,534,0,1156,1095
莫里森,USS Morrison,5,101474,1,840,39,134,82,0,77,0,75,59,9713,216,726,724,0,534,0,1156,1095
英格拉罕,USS Ingraham,3,101481,1,387,25,72,43,0,84,0,76,59,11021,350,912,941,0,585,0,1175,1280
英格拉罕,USS Ingraham,4,101482,1,481,31,90,54,0,84,0,76,59,11021,350,912,941,0,585,0,1175,1280
英格拉罕,USS Ingraham,5,101483,1,670,44,125,75,0,84,0,76,59,11021,350,912,941,0,585,0,1175,1280
英格拉罕,USS Ingraham,6,101484,1,953,63,178,106,0,84,0,76,59,11021,350,912,941,0,585,0,1175,1280
布里斯托尔,USS Bristol,3,101491,1,407,26,71,43,0,84,0,76,59,11604,356,906,950,0,585,0,1175,1280
布里斯托尔,USS Bristol,4,101492,1,506,32,89,54,0,84,0,76,59,11604,356,906,950,0,585,0,1175,1280
布里斯托尔,USS Bristol,5,101493,1,705,45,124,75,0,84,0,76,59,11604,356,906,950,0,585,0,1175,1280
布里斯托尔,USS Bristol,6,101494,1,1003,64,176,107,0,84,0,76,59,11604,356,906,950,0,585,0,1175,1280
哈曼II,USS Hammann II,2,101501,1,267,15,70,47,0,82,0,71,71,7593,205,894,1016,0,571,0,1088,1491
哈曼II,USS Hammann II,3,101502,1,332,19,87,58,0,82,0,71,71,7593,205,894,1016,0,571,0,1088,1491
哈曼II,USS Hammann II,4,101503,1,462,26,122,81,0,82,0,71,71,7593,205,894,1016,0,571,0,1088,1491
哈曼II,USS Hammann II,5,101504,1,657,37,174,115,0,82,0,71,71,7593,205,894,1016,0,571,0,1088,1491
拉菲II,USS Laffey II,3,101511,1,417,28,76,50,0,90,0,78,72,11878,386,951,1088,0,627,0,1201,1508
拉菲II,USS Laffey II,4,101512,1,519,35,95,62,0,90,0,78,72,11878,386,951,1088,0,627,0,1201,1508
拉菲II,USS Laffey II,5,101513,1,722,49,132,87,0,90,0,78,72,11878,386,951,1088,0,627,0,1201,1508
拉菲II,USS Laffey II,6,101514,1,1027,69,188,124,0,90,0,78,72,11878,386,951,1088,0,627,0,1201,1508
奥马哈,USS Omaha,1,102011,2,554,26,38,53,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
奥马哈,USS Omaha,2,102012,2,689,33,47,66,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
奥马哈,USS Omaha,3,102013,2,959,46,66,92,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
奥马哈,USS Omaha,4,102014,2,1365,65,95,130,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
罗利,USS Raleigh,1,102021,2,554,26,38,53,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
罗利,USS Raleigh,2,102022,2,689,33,47,66,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
罗利,USS Raleigh,3,102023,2,959,46,66,92,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
罗利,USS Raleigh,4,102024,2,1365,65,95,130,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
布鲁克林,USS Brooklyn,2,102031,2,595,30,0,58,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
布鲁克林,USS Brooklyn,3,102032,2,740,38,0,72,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
布鲁克林,USS Brooklyn,4,102033,2,1030,53,0,100,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
布鲁克林,USS Brooklyn,5,102034,2,1466,75,0,143,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
菲尼克斯,USS Phoenix,2,102041,2,595,30,0,58,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
菲尼克斯,USS Phoenix,3,102042,2,740,38,0,72,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
菲尼克斯,USS Phoenix,4,102043,2,1030,53,0,100,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
菲尼克斯,USS Phoenix,5,102044,2,1466,75,0,143,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
海伦娜,USS Helena,2,102051,2,620,32,0,60,0,68,0,60,28,15745,437,0,1269,0,475,0,888,587
海伦娜,USS Helena,3,102052,2,771,40,0,75,0,68,0,60,28,15745,437,0,1269,0,475,0,888,587
海伦娜,USS Helena,4,102053,2,1073,55,0,104,0,68,0,60,28,15745,437,0,1269,0,475,0,888,587
海伦娜,USS Helena,5,102054,2,1527,79,0,148,0,68,0,60,28,15745,437,0,1269,0,475,0,888,587
亚特兰大,USS Atlanta,2,102061,2,605,24,29,81,0,66,0,58,28,15365,330,401,1661,0,457,0,852,629
亚特兰大,USS Atlanta,3,102062,2,752,30,36,101,0,66,0,58,28,15365,330,401,1661,0,457,0,852,629
亚特兰大,USS Atlanta,4,102063,2,1047,42,50,141,0,66,0,58,28,15365,330,401,1661,0,457,0,852,629
亚特兰大,USS Atlanta,5,102064,2,1490,59,72,201,0,66,0,58,28,15365,330,401,1661,0,457,0,852,629
朱诺,USS Juneau,2,102071,2,605,24,29,81,0,66,0,58,28,15365,330,401,1661,0,457,0,852,629
朱诺,USS Juneau,3,102072,2,752,30,36,101,0,66,0,58,28,15365,330,401,1661,0,457,0,852,629
朱诺,USS Juneau,4,102073,2,1047,42,50,141,0,66,0,58,28,15365,330,401,1661,0,457,0,852,629
朱诺,USS Juneau,5,102074,2,1490,59,72,201,0,66,0,58,28,15365,330,401,1661,0,457,0,852,629
圣地亚哥,USS San Diego,3,102081,2,646,25,31,87,0,70,0,58,28,16407,351,429,1754,0,487,0,852,629
圣地亚哥,USS San Diego,4,102082,2,803,31,39,108,0,70,0,58,28,16407,351,429,1754,0,487,0,852,629
圣地亚哥,USS San Diego,5,102083,2,1118,44,54,151,0,70,0,58,28,16407,351,429,1754,0,487,0,852,629
圣地亚哥,USS San Diego,6,102084,2,1591,63,77,215,0,70,0,58,28,16407,351,429,1754,0,487,0,852,629
克利夫兰,USS Cleveland,2,102091,2,751,31,0,61,0,69,0,56,30,18613,422,0,1295,0,482,0,828,594
克利夫兰,USS Cleveland,3,102092,2,934,39,0,76,0,69,0,56,30,18613,422,0,1295,0,482,0,828,594
克利夫兰,USS Cleveland,4,102093,2,1300,54,0,106,0,69,0,56,30,18613,422,0,1295,0,482,0,828,594
克利夫兰,USS Cleveland,5,102094,2,1849,76,0,151,0,69,0,56,30,18613,422,0,1295,0,482,0,828,594
哥伦比亚,USS Columbia,2,102101,2,751,31,0,61,0,69,0,56,30,18613,429,0,1295,0,478,0,822,594
哥伦比亚,USS Columbia,3,102102,2,934,39,0,76,0,69,0,56,30,18613,429,0,1295,0,478,0,822,594
哥伦比亚,USS Columbia,4,102103,2,1300,54,0,106,0,69,0,56,30,18613,429,0,1295,0,478,0,822,594
哥伦比亚,USS Columbia,5,102104,2,1849,77,0,151,0,69,0,56,30,18613,429,0,1295,0,478,0,822,594
里士满,USS Richmond,1,102111,2,554,26,38,53,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
里士满,USS Richmond,2,102112,2,689,33,47,66,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
里士满,USS Richmond,3,102113,2,959,46,66,92,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
里士满,USS Richmond,4,102114,2,1365,65,95,130,0,67,0,52,30,14197,363,529,1136,0,465,0,768,731
火奴鲁鲁,USS Honolulu,2,102121,2,595,30,0,58,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
火奴鲁鲁,USS Honolulu,3,102122,2,740,38,0,72,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
火奴鲁鲁,USS Honolulu,4,102123,2,1030,53,0,100,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
火奴鲁鲁,USS Honolulu,5,102124,2,1466,75,0,143,0,66,0,54,28,15193,419,0,1234,0,462,0,804,587
圣路易斯,USS St.Louis,2,102131,2,620,32,0,60,0,68,0,57,28,15745,437,0,1269,0,475,0,840,587
圣路易斯,USS St.Louis,3,102132,2,771,40,0,75,0,68,0,57,28,15745,437,0,1269,0,475,0,840,587
圣路易斯,USS St.Louis,4,102133,2,1073,55,0,104,0,68,0,57,28,15745,437,0,1269,0,475,0,840,587
圣路易斯,USS St.Louis,5,102134,2,1527,79,0,148,0,68,0,57,28,15745,437,0,1269,0,475,0,840,587
蒙彼利埃,USS Montpelier,3,102141,2,760,31,0,63,0,71,0,56,30,18847,434,0,1337,0,496,0,828,594
蒙彼利埃,USS Montpelier,4,102142,2,945,39,0,79,0,71,0,56,30,18847,434,0,1337,0,496,0,828,594
蒙彼利埃,USS Montpelier,5,102143,2,1316,54,0,110,0,71,0,56,30,18847,434,0,1337,0,496,0,828,594
蒙彼利埃,USS Montpelier,6,102144,2,1872,78,0,156,0,71,0,56,30,18847,434,0,1337,0,496,0,828,594
丹佛,USS Denver,2,102151,2,751,29,0,61,0,68,0,55,30,18613,401,0,1288,0,475,0,816,594
丹佛,USS Denver,3,102152,2,934,36,0,76,0,68,0,55,30,18613,401,0,1288,0,475,0,816,594
丹佛,USS Denver,4,102153,2,1300,50,0,106,0,68,0,55,30,18613,401,0,1288,0,475,0,816,594
丹佛,USS Denver,5,102154,2,1849,72,0,150,0,68,0,55,30,18613,401,0,1288,0,475,0,816,594
孟菲斯,USS Memphis,2,102161,2,565,27,39,55,0,68,0,52,30,14475,373,541,1191,0,473,0,768,672
孟菲斯,USS Memphis,3,102162,2,703,34,49,69,0,68,0,52,30,14475,373,541,1191,0,473,0,768,672
孟菲斯,USS Memphis,4,102163,2,978,47,68,96,0,68,0,52,30,14475,373,541,1191,0,473,0,768,672
